Id,Nom de fichier,Lien vers l’image dans le GitHub,Couleurs : zones,Problème,Notes,Résolution
1,page_titre_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_titre_Boyer_Meduse_1697.png,"Bleu : Title
Magenta : Main
Vert : Stamp
Bleu ciel : Decoration",Est-ce que toute la page est une zone title?,None,None
2,page_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_prologue_Boyer_Meduse_1697.png,"Orange : Numbering
Violet : Figure
Bleu : Title
Magenta : Main
Violet foncé : DropCapital",1. Est-ce que prologue est un title ,None,None
3,page_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_prologue_Boyer_Meduse_1697.png,"Orange : Numbering
Violet : Figure
Bleu : Title
Magenta : Main
Violet foncé : DropCapital",2. Est-ce que le paragraphe sous title est aussi un title ,None,None
4,page_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_prologue_Boyer_Meduse_1697.png,"Orange : Numbering
Violet : Figure
Bleu : Title
Magenta : Main
Violet foncé : DropCapital","3. Est-ce que TIRCIS (=<sp> ou <stage>) appartiennent à main" ,None,None
5,page_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_prologue_Boyer_Meduse_1697.png,"Orange : Numbering
Violet : Figure
Bleu : Title
Magenta : Main
Violet foncé : DropCapital",4. Est-ce que les vers doivent être encodé comme une zone verse (en gros = <lg>) ,None,None
6,page_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_prologue_Boyer_Meduse_1697.png,"Orange : Numbering
Violet : Figure
Bleu : Title
Magenta : Main
Violet foncé : DropCapital",5. Est-ce que la dropCapital se trouve encastrée dans main(modifié),None,None
7,page_acteurs_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_%20acteurs_prologue_Boyer_Meduse_1697.png,"Bleu : Decoration
Bleu : Title
Magenta : Main
Violet sous Magenta : DropCapital
Violet : Figure
Vert : Stamp",1. la zone main peut-elle contenir d'autres zones? ,None,None
8,page_acteurs_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_%20acteurs_prologue_Boyer_Meduse_1697.png,"Bleu : Decoration
Bleu : Title
Magenta : Main
Violet sous Magenta : DropCapital
Violet : Figure
Vert : Stamp",2. La zone main peut-elle contenir tous les types de zones ou bien uniquement certaines? cf. le cas de dropCapital,None,None
9,page_acteurs_prologue_Boyer_Meduse_1697.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_%20acteurs_prologue_Boyer_Meduse_1697.png,"Bleu : Decoration
Bleu : Title
Magenta : Main
Violet sous Magenta : DropCapital
Violet : Figure
Vert : Stamp","Est-ce que l’on doit indiquer la présence d’un tampon quand il est visible, mais qu’il a été apposé de au recto de la page ?",None,None
10,page_titre_Moliere_Escole_des_Maris_1661.png,https://github.com/Heresta/BAO_Stage_DH_ENS_2021/blob/Probl%C3%A8mes-segmentation/problemesSegmentation/img/page_titre_Moliere_Escole_des_Maris_1661.png,"Bleu : Title
Bleu : Decoration
Magenta : Main
Vert : Stamp","Est-ce que les zones decoration, stamp et main peuvent se chevaucher ?",None,None
